date,text
2021-08-20 12:03:39+00:00,"Afghanistan’s looming cash crisis could worsen a humanitarian disaster    Afghanistan’s banking system is in a state of collapse, and people there are running out money. This cash crisismeans many Afghan citizens lack access to important services, as the UN warns of a growing humanitarian disaster.  Asef Khademi, who was previously working to modernize the country’s financial systems, is one of the many people now hiding in Kabul who wants to leave Afghanistan, but his hope is waning fast.  Khademi is afraid because for the last few years he has been working for an internationally-funded project to bring digital currency and banking into people’s lives, called the Afghanistan Payments System, or APS.  It was an important project: the Afghan economy runs on cash, and only 10-15% of citizens have a bank account. APS was meant to help Afghanistan become less cash-dependent. And, says Khademi, it was moving fast before the US withdrew its forces and the Taliban took over.  Now, though, as chaos continues to unfold in Afghanistan, the project has stopped, and cash is running out before any viable alternatives have been put in place.  But a different outcome was within reach, Khademi says: Afghanistan was perhaps just a year or two away from having a 21st-century digital banking infrastructure that could cope even if cash disappeared. "
2021-08-19 12:03:12+00:00,"How the world already prevented far worse warming this century    An impressive achievement: The world has already banded together to enact an international treaty that prevented significant global warming this century—even though that wasn’t the driving goal.  The specifics: In 1987, dozens of nations adopted the Montreal Protocol, agreeing to phase out the use of substances that were breaking down the ozone layer. But since many of them are also powerful greenhouse gases, as a major side benefit, their reduction over the last three decades has already eased warming and could cut as much as 1˚C off worldwide average temperatures by 2050.  More good news: A new studyin Nature highlights yet another crucial, if inadvertent, bonus: reducing the strain that ultraviolet radiation from the sun puts on plants, inhibiting photosynthesis and slowing growth. The Montreal Protocol avoided a catastrophic collapse of forests and croplands that would have added hundreds of billions of tons of carbon to the atmosphere.  Lessons to learn? All of which poses a question: Why can’t the world enact a similarly aggressive and effective international treaty designed explicitly to address climate change? "
2021-08-19 12:03:12+00:00,"  Solar panels are a pain to recycle. These companies are trying to fix that.  Vast wastage: Millions of solar panels have been installed in the last two decades—and since they typically last between 25 and 30 years, many will soon be ready for retirement and probably headed to a landfill. Only about 10% of panels in the US are recycled—it isn’t mandated by federal regulations, and recycling the devices is currently much more expensive than just discarding them.  A recycling push: New efforts to recycle these panels could reduce both the amount of waste and the new material that needs to be mined. The materials in solar panels coming offline each year could be worth an estimated $2 billion by 2050. New efforts, including one approach from a French startup called ROSI, are trying to recapture these valuable materials, especially silver and silicon, to make recycling the panels more financially viable. "
2021-08-18 12:04:31+00:00,"There's a vast online effort underway to evacuate vulnerable Afghans    A mad scramble: The sudden collapse of Afghanistan's government has led to a frantic push to accelerate online relief and evacuation efforts. These attempts, organized largely via Google Forms, WhatsApp and private social media groups, are trying to fill the void left by the US government's failure to protect vulnerable Afghans. These include journalists, activists, academics, translators, and others.  What’s happening: Working largely online, informal networks of people in and outside the country have been organizing lists of Afghans eligible for different resettlement programs or even trying to bypass the slow-moving bureaucratic processes completely. Several groups were planning to charter planes for private airlifts, for example.  The danger: These efforts create their own set of risks—including risks to the safety and security of people’s vital personal information. You can’t always be sure who you’re interacting with, and it’s possible that the Taliban could be lurking in the same online spaces too. "
2021-08-18 12:04:31+00:00,"  Apple says researchers can vet its child safety features. But it’s suing a startup that does just that.  Questionable promises: When Apple announced new technologythat will check its US iCloud service for known child sexual abuse material, it was met with fierce criticism over worries that the feature could be abused for government surveillance. Faced with public resistance, Apple insisted that its technology can be held accountable. In an interview, an executive insisted that researchers can inspect what’s happening in its iOS phone software.  But, uh… Apple is suing a company that makes software to let security researchers do exactly that. In 2019 it filed a lawsuit against Corellium, which lets researchers cheaply and easily test mobile devices by emulating their software rather than requiring them to access the physical devices. In the lawsuit, Apple arguedthat Corellium violated its copyrights, enabled the sale of software exploits used for hacking, and shouldn’t exist. The startup countered by saying that its use of Apple’s code was a classic protected case of fair use. The judge has largely sided with Corellium so far. "
2021-08-17 12:02:54+00:00,"How to talk to vaccine-hesitant people    It’s been eight months since the vaccine rollout began in the US, yet one in three adults remain unvaccinated. But they're not all firmly anti-vaccine, and many may be open to persuasion. With the delta variant ripping through many communities, getting vaccinated matters more than ever. So how do you change minds?  My colleague Tanya Basu has some tips: * Check your biases. People are complicated, and their reasons for not getting the vaccine are personal. Respect those reasons and you might have a more productive conversation. * See if the person is open to the conversation. If not, it might be a better use of your time and energy to simply back away. * Be kind. The person you are trying to communicate with will shut you out immediately if you are disrespectful. * Identify the obstacle. Ask if there’s anything you can do to ease their burden or help eliminate any barriers. * Consider the humble text message. Confrontations on social media rarely work. * Tailor your argument to the person. Consider their specific worries and try to address them. Don’t use jargon or talk down. * Be a “cooler.” People who have had similar concerns, yet gone ahead and got vaccinated, may be more likely to persuade others than someone eager to get their shot at the first opportunity. * Have your sources ready. Present facts in a clear way that isn’t condescending. "
2021-08-16 12:03:34+00:00,"How digital beauty filters perpetuate colorism    When Lise was a young teenager in Georgia, her classmates bullied her relentlessly. Most often, they would attack her with remarks about her dark complexion. Sometimes teachers would send her home from school because she couldn’t stop crying.  And it wasn’t just white classmates. Black students harassed her too. She remembers them asking, “Why is she so dark?”  Just when she thought it couldn’t get worse, the phone in her palm became an endless stream of pictures of beautiful, lighter-skinned women getting dozens, hundreds, or even thousands of likes and affirming comments.  The prejudice Lise experienced—colorism—has a long history, driven by European ideals of beauty that associate lighter skin with purity and wealth, darker tones with sin and poverty.  These prejudices have been part of the social and media landscape for a long time but today, thanks to the prevalence of selfies and face filters, digital colorism has spread. With Snapchat, Instagram, TikTok, and Facebook a part of billions of people’s everyday lives, many of us find that people see far more pictures of us than ever before. But there are biases built into these systems, and they could be particularly catastrophic for women with darker complexions. "
2021-08-13 12:04:06+00:00,"Stop saying “delta plus.” It doesn’t mean anything.    If you’ve been worried by recent news stories about a strain of covid called “delta plus,” it may freak you out to hear that scientists just expanded the delta family from four variants to 13.  Please take a deep breath. Scientists would really like you to understand that there’s no evidence delta has learned any new tricks, and these new names are for helping keep track of covid’s evolution—not nine new reasons to panic. And many researchers are also really, really hoping you’ll stop saying ‘delta plus.’ (  “The name ‘delta plus’ is completely incorrect, because it gives the perception that this will cause more damage,” says Anderson Brito, a member of the Pango Lineage Designation Committee, which assigns scientific names like B.1.1.7 to new branches of the virus. "
2021-08-13 12:04:06+00:00,"  Deleting unethical data sets isn’t good enough  A lingering problem: For years, AI researchers scraped the web for the images and text they need to train their models. Some of the data sets they created contain millions of photos of ordinary individuals who have never given their consent for their images to be used. The practice is now legally risky and frowned-upon. As a result, AI researchers have increasingly retracted the data sets they created this way. But the privacy concerns linger in an internet forever-land.  The specifics: A new studyshows that problematic data is still widely proliferating and being used. The authors selected three of the most cited data sets containing faces or people, two of which had been retracted; they traced the ways each had been copied, used, and repurposed in close to 1,000 papers. They found that many still exist on third-party sites and in derivative data sets built atop the original. Part of the problem, according to the paper, is that those who put together data sets quickly lose control of their creations.  A fix? The authors provide several recommendations for the AI community around responsible and ethical data collection and use. But some want to take it further. "
2021-08-12 12:01:27+00:00,"Mathematicians are deploying algorithms to stop gerrymandering    The maps for US legislative races often resemble monsters, with bizarrely shaped districts emerging from wonky hybrids of counties, precincts, and census blocks.  But it’s the drawing of these maps, more than anything, that determines how votes translate into who gets elected.  The question is, if the choice of maps is so important, which map should we choose, and how should we decide if someone has done a good job in choosing that map?  Over recent months, mathematicians have been busyin anticipation of a data release expected today from the US Census Bureau. Every decade, new census data launches the decennial redistricting cycle—state legislators (or sometimes appointed commissions) draw new maps, moving district lines to account for demographic shifts.  In preparation, mathematicians are sharpening new algorithms that detect and counter gerrymandering, whereby politicians rig the maps and skew the results to favor one political party over another. Republicans have openly declared that they intend to gerrymander a path to retaking the US House of Representatives in 2022. Tools like these algorithms will play a critical role in the looming political battles. "
