Date,Title,Subtitle,Author,Publication,Minutes
2021-08-11 11:40:00+00:00,Stop One-Hot Encoding your Categorical Features - Avoid Curse of Dimensionality,Techniques to Encode Categorical Features with many Levels/Categories,Satyam Kumar,The Startup ,5
2021-08-11 11:40:00+00:00,Encoding Categorical Features,Introduction,Yang Liu,Towards Data Science ,6
2021-08-11 11:40:00+00:00,How to Write a Headline,Insights from Medium's editorial team,Medium Creators,Creators Hub ,5
2021-08-11 11:40:00+00:00,Topic Areas to Avoid,The following topics have been covered at length on Better Programming,Zack Shapiro,Better Programming ,2
2021-08-11 11:40:00+00:00,How to Calculate Molecular Similarity,Day 15 of the 66 Days of Data,Chanin Nantasenamat,Data Professor ,5
2021-08-11 11:40:00+00:00,From Storytelling to Scrollytelling: A Short Introduction and Beyond*,Likely you have already heard about (Visual) Storytelling. It is a design concept applied in Journalism…,Lorenzo Amabili,Nightingale ,6
2021-08-11 11:40:00+00:00,Introducing yourself without saying your title,"""I'm a Senior Director of Experiential Design and Brand Experience for North America and  EMEA.""",Fabricio Teixeira,UX Collective ,2
2021-08-11 11:40:00+00:00,NMR Data Processing and Plotting with Python,"In this work, I am plotting 1D NMR spectrum with Python and also extracting the chemical shift information…","Ronghui Zhou, Ph.D.",Python in Plain English ,3
2021-08-11 11:40:00+00:00,Making Money on LinkedIn Is a Secret Society,Let me show you exactly how content creators make money on LinkedIn. It's not obvious - and I've been doing…,Tim Denning,Entrepreneur's Handbook ,4
2021-08-11 11:40:00+00:00,Mastering data visualization in Python using Seaborn,"Just imagine, you are given a spreadsheet containing sales over the past 10 years of a particular…",Sahana,Nerd For Tech ,14
2021-08-11 11:40:00+00:00,The Top 25 Python libraries for Data Science,A list of the Python libraries that you should try at least once in your life.,Angelica Lo Duca,Geek Culture ,6
2021-08-11 11:40:00+00:00,Instagram Has Become SkyMall,"The ads are a nonstop slurry of surreal products, and I love it",Clive Thompson,Debugger ,6
2021-08-11 11:40:00+00:00,I Left My Job Because of TypeScript,So You Can Learn from My Mistake,Bernard Bado,JavaScript in Plain English ,5
2021-08-10 11:40:00+00:00,How To Plot Time Series,Produce elegant plots that tell a story,Nadim Kawwa,Towards Data Science ,5
2021-08-10 11:40:00+00:00,Scraping Data from a Website,Using pandas to scrap data in a single line of code,Himanshu Sharma,MLearning.ai ,2
2021-08-10 11:40:00+00:00,"How to Web Scrape Tables Online, Using Python and BeautifulSoup",Showing you how to create a universal code that can recreate any table you see online in Python,Christopher Zita,Analytics Vidhya ,7
2021-08-10 11:40:00+00:00,Stop Using Exceptions Like This in Python,Four common error-handling mistakes to avoid in Python,Jerry Ng,Better Programming ,5
2021-08-10 11:40:00+00:00,Plotly Charts are Making Python Smarter,"As data science has become a larger and larger part of my life, so has the need to visualize, share, and…",Jake from Mito,trymito ,3
2021-08-10 11:40:00+00:00,How to perform an Exploratory Data Analysis (EDA) with one line of code,Learn about performing exploratory data analysis using pandas_profiling,Akshay Madar,Python in Plain English ,2
2021-08-10 11:40:00+00:00,Coding is a Trap. Get Out.,The looming threat to the average programmer.,Justin McClain,TekLit ,3
2021-08-10 11:40:00+00:00,Why you sometimes need to break the rules in data viz,Best practices help us to avoid common pitfalls in data visualisation - but we shouldn't follow them blindly,Rosamund Pearce,The Economist ,10
2021-08-10 11:40:00+00:00,How I Used Python and Selenium To Get a Lifetime Supply of Garlic Pizza Sticks,A tale of a curious student with a hungry mind.,Sanjeet Chatterjee,Level Up Coding ,4
2021-08-10 11:40:00+00:00,Machine Learning Model Deployment,The Forgotten Phase,Kurtis Pykes,DataDrivenInvestor ,4
