date,text
2021-08-25 12:03:48+00:00,The coronavirus could get worse We’re approaching evolutionary tipping point
2021-08-25 12:03:48+00:00,Vaccine immunity seems wane month But they’re still good job
2021-08-25 12:03:48+00:00,Inside Boston Dynamics’ plan create useful robot look behind viral video hype
2021-08-25 12:03:48+00:00,hidden Arctic cave hold secret past future After half century wondering we’re find contains
2021-08-25 12:03:48+00:00,Waymo expanding driverless ride San Francisco But rider sign NDA lol
2021-08-25 12:03:48+00:00,Tech regulation could become fragmented nightmare Where Washington failed state city stepping
2021-08-25 12:03:48+00:00,The definition planet still sore point Look away Pluto fan
2021-08-25 12:03:48+00:00,Could robot eventually evolve This feel like magical thinking certainly fun imagine
2021-08-25 12:03:48+00:00,YouTube you’re never far dying kitten The cycle staged cruel animal rescue YouTube video unending
2021-08-25 12:03:48+00:00,Why people paying coach get better video game The industry exploded pandemic
2021-08-24 12:03:13+00:00,The FDA fully approved PfizerBioNTech vaccine Itll marketed Comirnaty see quote bottom list
2021-08-24 12:03:13+00:00,homegrown app helping Kabul resident avoid danger relies groundlevel report vetted team user private WhatsApp group
2021-08-24 12:03:13+00:00,Why pay attention Chinas digital yuan This much centralized digital currency Its also potential tool control dominance
2021-08-24 12:03:13+00:00,The Facebook group thats winning vaccine skeptic Vaccine Talk nearly 70000 member effort couldnt urgent
2021-08-24 12:03:13+00:00,could used spot art forgery One model could distinguish Rembrandt imitator accuracy
2021-08-24 12:03:13+00:00,How mentally prepare disaster You need plenty empathy including
2021-08-24 12:03:13+00:00,need robot jerk sometimes simply isnt good surrounded endless subservience
2021-08-24 12:03:13+00:00,The farmer market moving online This make much sense—but incredibly tricky get right
2021-08-24 12:03:13+00:00,What adult tricycle tell world supply chain problem Everything interlinked fragile
2021-08-24 12:03:13+00:00,Somebody spent million picture rock Perhaps universe way telling much money not enough sense
2021-08-23 12:02:55+00:00,How Taliban mastered social medium The Afghanistan today different place internet banned 2001
2021-08-23 12:02:55+00:00,You might already breakthrough covid19 infection Yet effort fight virus bedeviled lack reliable good quality data
2021-08-23 12:02:55+00:00,Amazons next big idea Build department store And thus cycle tech company inventing solution problem helped create continues
2021-08-23 12:02:55+00:00,China passed one world strictest data privacy law This curb data collection private company The state Not much
2021-08-23 12:02:55+00:00,need treat space traffic like treat high sea Maritime law could help prevent future plague satellite crash
2021-08-23 12:02:55+00:00,Why world biggest computer chip exists Its accelerating
2021-08-23 12:02:55+00:00,The commute reason many dont want office And itll even worse people whove moved away pandemic
2021-08-23 12:02:55+00:00,Should doxxing illegal This question much harder answer might think
2021-08-23 12:02:55+00:00,How disinformation problem got bad This issue much older much complex weve led believe
2021-08-23 12:02:55+00:00,The man worked double agent Apple One powerful yet also one paranoid company
2021-08-20 12:03:39+00:00,Afghanistan pose crowdfunding conundrum Good intention bumping harsh reality ground
2021-08-20 12:03:39+00:00,Those ubiquitous plastic barrier They might making thing worse Theyre disrupting usual flow ventilation
2021-08-20 12:03:39+00:00,The FTC suing Facebook The suit seek force Facebook sell Instagram WhatsApp
2021-08-20 12:03:39+00:00,Chinese astronomer want build observatory Tibetan Plateau new study suggests summit Saishiteng Mountain lot potential
2021-08-20 12:03:39+00:00,Toyota going cut production next month The ripple effect global chip shortage getting bigger bigger
2021-08-20 12:03:39+00:00,OnlyFans say going ban sexually explicit content Isnt that… business
2021-08-20 12:03:39+00:00,Its hard rational The real challenge isn’t right knowing wrong might
2021-08-20 12:03:39+00:00,These crypto trader want payback loss caused Binance glitch Whether win lose theyll set important precedent industry whole
2021-08-20 12:03:39+00:00,Tesla say building humanoid robot But probably wont work according Elon Musk Cool
2021-08-20 12:03:39+00:00,The case longform music Enough endless curation Listen album let
2021-08-19 12:03:12+00:00,Israel battling new surge covid19 infection Despite one highest vaccination rate country
2021-08-19 12:03:12+00:00,The Taliban run sophisticated social medium operation sophisticated fact convinced theyre advised firm
2021-08-19 12:03:12+00:00,Facebook say launch digital wallet Novi offer free persontoperson payment
2021-08-19 12:03:12+00:00,Big Tech bending Indian government seems market billion people lucrative resist
2021-08-19 12:03:12+00:00,How DDoSecrets eclipsed Wikileaks Theyre new hacktivists block
2021-08-19 12:03:12+00:00,School board front line Americas culture war And promise people rant going viral online making everything much worse
2021-08-19 12:03:12+00:00,Three former Netflix software engineer charged insider trading They allegedly made million illegally trading share using insider information company subscriber growth
2021-08-19 12:03:12+00:00,How social medium redesigns manipulate Twitters new font might seem subtle effect sort change anything
2021-08-19 12:03:12+00:00,This startup selling dream supersized testicle Sounds like load ball
2021-08-19 12:03:12+00:00,The 3Dprinted home arrived And could help two major challenge shortage housing climate change
2021-08-18 12:04:31+00:00,The Taliban seized military biometrics device Its incredible allowed happen
2021-08-18 12:04:31+00:00,How navigate delta variant youre vaccinated minefield
2021-08-18 12:04:31+00:00,The case breaking Big Agriculture become increasingly concentrated hand company knockon effect disastrous
2021-08-18 12:04:31+00:00,Are ready electric car boom Reducing use scarce metals—and recycling them—will crucial
2021-08-18 12:04:31+00:00,Facebook big misinformation problem How big wont say And getting even harder find company put squeeze external effort study
2021-08-18 12:04:31+00:00,Someone keep stealing book manuscript This crazy mysterious tale worthy novel
2021-08-18 12:04:31+00:00,digital technology making moral Evidence suggests eroding attention eroding moral attention eroding empathy
2021-08-18 12:04:31+00:00,How reggae legend went become emoji The human story behind emoji creation often fascinating exception
2021-08-18 12:04:31+00:00,lot worker would rather quit stop remote Weve tasted freedom really dont want give thank much
2021-08-18 12:04:31+00:00,Gen LinkedIn laughing Lets honest totally ripe mockery
2021-08-17 12:02:54+00:00,Afghans trying erase online life The fear Taliban retribution huge justified
2021-08-17 12:02:54+00:00,How pandemic got bad Florida Worryingly rest country there lot dont know know
2021-08-17 12:02:54+00:00,New Zealand gone back lockdown Due one covid case
2021-08-17 12:02:54+00:00,Saturn’s inside sloshing around new paper suggests Saturn’s core bigger previously thought like fluid solid
2021-08-17 12:02:54+00:00,Western state facing first federal water cut Water level largest reservoir Colorado River fallen record low
2021-08-17 12:02:54+00:00,The government formally investigating Tesla Autopilot The feature frequently misused driver
2021-08-17 12:02:54+00:00,How Twitters internal culture went sour prominent new hire seems rattled nerve among employee
2021-08-17 12:02:54+00:00,Whats social medium mental health The science far weaker admit
2021-08-17 12:02:54+00:00,CGI replica Nvidias CEO delivered speech one realized Impressive yet freaky
2021-08-17 12:02:54+00:00,new world record exact figure Swiss researcher hit 628 trillion figure using supercomputer
2021-08-16 12:03:34+00:00,Kabul airport chaos The Taliban charge Afghanistan prompting many try flee
2021-08-16 12:03:34+00:00,Rescuers hunting survivor Haitis earthquake killed 1297 The disaster compound huge problem facing impoverished nation
2021-08-16 12:03:34+00:00,Why effort convince antivaxxers failing Basically people find incredibly hard admit theyre wrong
2021-08-16 12:03:34+00:00,The case scrapping travel ban International travel rule currently ineffective illiberal often useless
2021-08-16 12:03:34+00:00,Scammers managed steal 400 billion covid benefit Experts say biggest fraud ever perpetrated
2021-08-16 12:03:34+00:00,The professor foresaw dark side internet Unfortunately one listened Philip Agres eerily prescient prediction 1990s
2021-08-16 12:03:34+00:00,The latest hot new trend Meeting online friend IRL weve discovered past year there something indefinably great human interaction
2021-08-16 12:03:34+00:00,Some remote worker secret two job The money incredible But stress
2021-08-16 12:03:34+00:00,How data science helped identify creepiest word Macbeth You wont able guess
2021-08-16 12:03:34+00:00,The crazy logistics Istanbul grand canal project There LOT could wrong
2021-08-13 12:04:06+00:00,The FDA approved third covid shot immunocompromised people Some people cancer HIV patient dont seem produce sufficient immune response two dos
2021-08-13 12:04:06+00:00,New research suggests hydrogen may pretty bad climate Its seen clean energy future extraction process emits vast amount carbon dioxide
2021-08-13 12:04:06+00:00,Incels keep trying take Reddits largest dating forum The moderator keeping nonsense bay deserve sort medal
2021-08-13 12:04:06+00:00,Inside Substacks risky global expansion Its going grapple threat press freedom ever
2021-08-13 12:04:06+00:00,Chinas tech industry huge sexism problem rape allegation Alibaba shone spotlight appalling condition woman Chinas tech giant
2021-08-13 12:04:06+00:00,How 36yearold billionaire took GameStop Audacious barely begin cover
2021-08-13 12:04:06+00:00,The dark side Instagrams craze cute hedgehog Theres practically way know adorable animal like online treated properly
2021-08-13 12:04:06+00:00,need work therapy part psychedelic therapy Its mostly done individual case group session
