,Dominant_Topic
0,14.0
1,6.0
2,12.0
3,17.0
4,9.0
5,8.0
6,20.0
7,16.0
8,20.0
9,20.0
10,16.0
11,14.0
12,20.0
13,13.0
14,21.0
15,3.0
16,23.0
17,23.0
18,18.0
19,2.0
20,10.0
21,15.0
22,18.0
23,18.0
24,18.0
25,6.0
26,24.0
27,18.0
28,8.0
29,20.0
30,6.0
31,1.0
32,26.0
33,0.0
34,22.0
35,4.0
36,20.0
37,12.0
38,23.0
39,17.0
40,1.0
41,27.0
42,18.0
43,8.0
44,1.0
45,8.0
46,15.0
47,11.0
48,18.0
49,27.0
50,23.0
51,20.0
52,20.0
53,0.0
54,5.0
55,6.0
56,13.0
57,7.0
58,25.0
59,1.0
60,4.0
61,12.0
62,24.0
63,27.0
64,23.0
65,0.0
66,23.0
67,23.0
68,6.0
69,17.0
70,20.0
71,9.0
72,8.0
73,19.0
74,21.0
75,23.0
76,8.0
77,18.0
78,20.0
79,20.0
80,27.0
81,3.0
82,20.0
83,8.0
84,1.0
85,14.0
86,8.0
87,27.0
88,5.0
89,20.0
90,6.0
91,23.0
92,20.0
93,21.0
94,8.0
95,25.0
96,22.0
97,6.0
98,7.0
99,24.0
100,13.0
101,16.0
102,4.0
103,4.0
104,3.0
105,8.0
106,17.0
107,10.0
108,12.0
109,24.0
110,6.0
111,9.0
112,11.0
113,3.0
114,16.0
115,18.0
116,20.0
117,15.0
118,1.0
119,18.0
120,12.0
121,17.0
122,18.0
123,23.0
124,4.0
125,4.0
126,16.0
127,14.0
128,4.0
129,12.0
130,1.0
131,8.0
132,6.0
133,8.0
134,20.0
135,20.0
136,9.0
137,6.0
138,16.0
139,6.0
140,20.0
141,20.0
142,14.0
143,20.0
144,3.0
145,23.0
146,5.0
147,19.0
148,23.0
149,21.0
150,2.0
151,1.0
152,23.0
153,9.0
154,20.0
155,4.0
156,0.0
157,0.0
158,27.0
159,8.0
160,9.0
161,16.0
162,20.0
163,20.0
164,8.0
165,20.0
166,9.0
167,6.0
168,0.0
169,16.0
170,6.0
171,8.0
172,14.0
173,6.0
174,4.0
175,6.0
176,6.0
177,7.0
178,0.0
179,0.0
180,23.0
181,20.0
182,10.0
183,11.0
184,21.0
185,6.0
186,8.0
187,21.0
188,26.0
189,1.0
190,7.0
191,26.0
192,20.0
193,20.0
194,18.0
195,0.0
196,20.0
197,8.0
198,6.0
199,4.0
200,13.0
201,19.0
202,18.0
203,24.0
204,8.0
205,4.0
206,27.0
207,22.0
208,13.0
209,23.0
210,17.0
211,14.0
212,18.0
213,25.0
214,12.0
215,2.0
216,20.0
217,23.0
218,18.0
219,20.0
220,6.0
221,6.0
222,9.0
223,9.0
224,8.0
225,6.0
226,24.0
227,4.0
228,4.0
229,16.0
230,0.0
231,20.0
232,25.0
233,25.0
234,16.0
235,4.0
236,23.0
237,6.0
238,24.0
239,7.0
240,6.0
241,25.0
242,26.0
243,6.0
244,10.0
245,10.0
246,3.0
247,0.0
248,8.0
249,1.0
250,27.0
251,10.0
252,18.0
253,17.0
254,8.0
255,4.0
256,18.0
257,1.0
258,3.0
259,9.0
260,26.0
261,11.0
262,20.0
263,18.0
264,18.0
265,20.0
266,17.0
267,16.0
268,18.0
269,8.0
270,7.0
