Date,Title,Subtitle,Source
2021-08-23 12:02:55+00:00,How the Taliban mastered social media,The Afghanistan of today is very different from the place where the internet was banned in 2001.,NYT
2021-08-23 12:02:55+00:00,You might have already had a breakthrough covid-19 infection,"Yet again, efforts to fight the virus are being bedeviled by a lack of reliable, good quality data.",New Yorker
2021-08-23 12:02:55+00:00,Amazon's next big idea? Build department stores,And thus the cycle of tech companies inventing solutions to the problems they helped create continues.,The Atlantic
2021-08-23 12:02:55+00:00,China has just passed one of the world's strictest data privacy laws,This will curb data collection by private companies. The state? Not so much.,WSJ
2021-08-23 12:02:55+00:00,We need to treat space traffic like we treat the high seas ️,Maritime law could help us to prevent a future plague of satellite crashes.,TR
2021-08-23 12:02:55+00:00,Why the world's biggest computer chip exists,It's all about accelerating AI.,New Yorker
2021-08-23 12:02:55+00:00,The commute is the reason so many of us don't want to go to the office,And it'll be even worse for the people who've moved further away during the pandemic.,Axios
2021-08-23 12:02:55+00:00,Should doxxing be illegal?,This question is much harder to answer than you might think.,The Markup
2021-08-23 12:02:55+00:00,How the disinformation problem got so bad,"This issue is much older, and much more complex, than we've been led to believe.",Harper's Magazine
2021-08-23 12:02:55+00:00,The man who worked as a double agent for Apple,One of the most powerful yet also one of the most paranoid companies out there.,Vice
2021-08-20 12:03:39+00:00,Afghanistan poses a crowdfunding conundrum,Good intentions are bumping up against the harsh realities on the ground.,NYT
2021-08-20 12:03:39+00:00,Those ubiquitous plastic barriers? They might be making things worse.,They're disrupting the usual flow of ventilation.,NYT
2021-08-20 12:03:39+00:00,The FTC is suing Facebook again,The suit seeks to force Facebook to sell off Instagram and WhatsApp.,Politico
2021-08-20 12:03:39+00:00,Chinese astronomers want to build an observatory in the Tibetan Plateau,A new study suggests the summit of Saishiteng Mountain has lots of potential.,TR
2021-08-20 12:03:39+00:00,Toyota is going to have to cut production by 40% from next month,The ripple effects from the global chip shortage are just getting bigger and bigger.,WSJ
2021-08-20 12:03:39+00:00,OnlyFans says it's going to ban sexually explicit content,Isn't that… most of its business?,TechCrunch
2021-08-20 12:03:39+00:00,It's hard to be rational 🤔,The real challenge isn’t being right but knowing how wrong you might be.,New Yorker
2021-08-20 12:03:39+00:00,These crypto traders want payback for losses caused by Binance glitches,"Whether they win or lose, they'll set an important precedent for the industry as a whole.",NBC
2021-08-20 12:03:39+00:00,Tesla says it's building a humanoid robot,"But ""it probably won't work"", according to Elon Musk. Cool!",CNBC
2021-08-20 12:03:39+00:00,"The case for ""longform"" music ",Enough with the endless curation. Listen to an album and let go.,Wired
2021-08-19 12:03:12+00:00,Israel is battling a new surge of covid-19 infections,Despite having one of the highest vaccination rates of any country.,NYT
2021-08-19 12:03:12+00:00,The Taliban run a sophisticated social media operation,"So sophisticated, in fact, that some are convinced they're being advised by PR firms.",WP
2021-08-19 12:03:12+00:00,Facebook says it's about to launch its digital wallet,"""Novi"" will offer free person-to-person payments.",FT
